'07/04/2021 16:47:18.240879', '70875', '67448', '1862'
'07/04/2021 16:47:18.245949', '70885', '67453', '1877'
'07/04/2021 16:47:18.251013', '70905', '67462', '1826'
'07/04/2021 16:47:18.255782', '70919', '67468', '1837'
'07/04/2021 16:47:18.260755', '70941', '67476', '1855'
'07/04/2021 16:47:18.265833', '70970', '67484', '1878'
'07/04/2021 16:47:18.270919', '70994', '67490', '1834'
'07/04/2021 16:47:18.276007', '71022', '67502', '1815'
'07/04/2021 16:47:18.280936', '71039', '67509', '1862'
'07/04/2021 16:47:18.286348', '71068', '67526', '1886'
'07/04/2021 16:47:18.290996', '71099', '67534', '1838'
'07/04/2021 16:47:18.296095', '71132', '67554', '1818'
'07/04/2021 16:47:18.301169', '71159', '67554', '1870'
'07/04/2021 16:47:18.305814', '71189', '67571', '1877'
'07/04/2021 16:47:18.310913', '71222', '67577', '1827'
'07/04/2021 16:47:18.316000', '71251', '67589', '1775'
'07/04/2021 16:47:18.321103', '71275', '67602', '1862'
'07/04/2021 16:47:18.326185', '71296', '67609', '1890'
'07/04/2021 16:47:18.330851', '71325', '67620', '1838'
'07/04/2021 16:47:18.336058', '71353', '67628', '1829'
'07/04/2021 16:47:18.341162', '71385', '67631', '1872'
'07/04/2021 16:47:18.345818', '71405', '67650', '1886'
'07/04/2021 16:47:18.350938', '71438', '67660', '1831'
'07/04/2021 16:47:18.355980', '71477', '67675', '1809'
'07/04/2021 16:47:18.362019', '71498', '67687', '1872'
'07/04/2021 16:47:18.366153', '71518', '67697', '1893'
'07/04/2021 16:47:18.370816', '71541', '67709', '1843'
'07/04/2021 16:47:18.375934', '71564', '67716', '1831'
'07/04/2021 16:47:18.381044', '71583', '67722', '1874'
'07/04/2021 16:47:18.386162', '71600', '67728', '1885'
'07/04/2021 16:47:18.390842', '71614', '67739', '1822'
'07/04/2021 16:47:18.395952', '71632', '67749', '1820'
'07/04/2021 16:47:18.401086', '71656', '67754', '1866'
'07/04/2021 16:47:18.406205', '71681', '67768', '1884'
'07/04/2021 16:47:18.410892', '71696', '67774', '1839'
'07/04/2021 16:47:18.416009', '71722', '67787', '1826'
'07/04/2021 16:47:18.421141', '71748', '67792', '1872'
'07/04/2021 16:47:18.426264', '71767', '67799', '1891'
'07/04/2021 16:47:18.430952', '71785', '67806', '1847'
'07/04/2021 16:47:18.436100', '71803', '67811', '1824'
'07/04/2021 16:47:18.441221', '71824', '67820', '1874'
'07/04/2021 16:47:18.445924', '71833', '67823', '1901'
'07/04/2021 16:47:18.451092', '71847', '67830', '1847'
'07/04/2021 16:47:18.456213', '71864', '67828', '1811'
'07/04/2021 16:47:18.461076', '71856', '67827', '1861'
'07/04/2021 16:47:18.466092', '71847', '67821', '1873'
'07/04/2021 16:47:18.471163', '71828', '67805', '1828'
'07/04/2021 16:47:18.476260', '71782', '67781', '1817'
'07/04/2021 16:47:18.480927', '71728', '67759', '1859'
'07/04/2021 16:47:18.486028', '71667', '67730', '1873'
'07/04/2021 16:47:18.491103', '71600', '67701', '1818'
'07/04/2021 16:47:18.496190', '71522', '67660', '1808'
'07/04/2021 16:47:18.501266', '71429', '67630', '1856'
'07/04/2021 16:47:18.506114', '71337', '67584', '1867'
'07/04/2021 16:47:18.511323', '71234', '67545', '1822'
'07/04/2021 16:47:18.515999', '71137', '67503', '1807'
'07/04/2021 16:47:18.521374', '71029', '67455', '1874'
'07/04/2021 16:47:18.525981', '70933', '67416', '1885'
'07/04/2021 16:47:18.531023', '70832', '67375', '1838'
'07/04/2021 16:47:18.536071', '70738', '67337', '1826'
'07/04/2021 16:47:18.541121', '70651', '67302', '1877'
'07/04/2021 16:47:18.546154', '70577', '67268', '1903'
'07/04/2021 16:47:18.551195', '70503', '67242', '1895'
'07/04/2021 16:47:18.556244', '70447', '67222', '1837'
'07/04/2021 16:47:18.561186', '70394', '67198', '1865'
'07/04/2021 16:47:18.566421', '70362', '67186', '1890'
'07/04/2021 16:47:18.571049', '70341', '67181', '1841'
'07/04/2021 16:47:18.576119', '70334', '67175', '1830'
'07/04/2021 16:47:18.581163', '70334', '67171', '1883'
'07/04/2021 16:47:18.586208', '70335', '67176', '1901'
'07/04/2021 16:47:18.591271', '70345', '67179', '1851'
'07/04/2021 16:47:18.596350', '70368', '67187', '1827'
'07/04/2021 16:47:18.600979', '70391', '67200', '1857'
'07/04/2021 16:47:18.606050', '70423', '67212', '1890'
'07/04/2021 16:47:18.611121', '70464', '67226', '1843'
'07/04/2021 16:47:18.616178', '70512', '67243', '1824'
'07/04/2021 16:47:18.621236', '70560', '67259', '1872'
'07/04/2021 16:47:18.626300', '70605', '67280', '1899'
'07/04/2021 16:47:18.631368', '70658', '67303', '1850'
'07/04/2021 16:47:18.636431', '70715', '67329', '1833'
'07/04/2021 16:47:18.641086', '70778', '67352', '1872'
'07/04/2021 16:47:18.646149', '70859', '67382', '1894'
'07/04/2021 16:47:18.651213', '70935', '67414', '1846'
'07/04/2021 16:47:18.656290', '71010', '67446', '1835'
'07/04/2021 16:47:18.661369', '71087', '67475', '1886'
'07/04/2021 16:47:18.666110', '71161', '67508', '1886'
'07/04/2021 16:47:18.671281', '71237', '67539', '1841'
'07/04/2021 16:47:18.676365', '71326', '67569', '1839'
'07/04/2021 16:47:18.681437', '71401', '67598', '1885'
'07/04/2021 16:47:18.686100', '71470', '67630', '1900'
'07/04/2021 16:47:18.691185', '71545', '67661', '1840'
'07/04/2021 16:47:18.696273', '71614', '67683', '1822'
'07/04/2021 16:47:18.701362', '71681', '67710', '1857'
'07/04/2021 16:47:18.706453', '71733', '67730', '1896'
'07/04/2021 16:47:18.712008', '71789', '67753', '1827'
'07/04/2021 16:47:18.716402', '71855', '67779', '1813'
'07/04/2021 16:47:18.721476', '71910', '67798', '1860'
'07/04/2021 16:47:18.726137', '71958', '67817', '1876'
'07/04/2021 16:47:18.731220', '72013', '67836', '1839'
'07/04/2021 16:47:18.736381', '72061', '67852', '1826'
'07/04/2021 16:47:18.741462', '72097', '67865', '1863'
'07/04/2021 16:47:18.746129', '72121', '67879', '1900'
'07/04/2021 16:47:18.751221', '72159', '67888', '1838'
'07/04/2021 16:47:18.756282', '72196', '67898', '1829'
'07/04/2021 16:47:18.761360', '72223', '67906', '1865'
'07/04/2021 16:47:18.766272', '72258', '67922', '1877'
'07/04/2021 16:47:18.771502', '72275', '67925', '1838'
'07/04/2021 16:47:18.776232', '72315', '67937', '1833'
'07/04/2021 16:47:18.781298', '72338', '67949', '1881'
'07/04/2021 16:47:18.786396', '72362', '67955', '1859'
'07/04/2021 16:47:18.791480', '72381', '67962', '1846'
'07/04/2021 16:47:18.796187', '72400', '67969', '1840'
'07/04/2021 16:47:18.801272', '72415', '67975', '1872'
'07/04/2021 16:47:18.806374', '72446', '67983', '1890'
'07/04/2021 16:47:18.811468', '72469', '67989', '1842'
'07/04/2021 16:47:18.816172', '72481', '67998', '1835'
'07/04/2021 16:47:18.821264', '72502', '68000', '1899'
'07/04/2021 16:47:18.826363', '72531', '68006', '1899'
'07/04/2021 16:47:18.831468', '72547', '68012', '1842'
'07/04/2021 16:47:18.836186', '72573', '68020', '1829'
'07/04/2021 16:47:18.841276', '72597', '68026', '1871'
'07/04/2021 16:47:18.846401', '72633', '68033', '1893'
'07/04/2021 16:47:18.851502', '72662', '68043', '1837'
'07/04/2021 16:47:18.856233', '72688', '68051', '1822'
'07/04/2021 16:47:18.861332', '72721', '68064', '1869'
'07/04/2021 16:47:18.866452', '72763', '68075', '1893'
'07/04/2021 16:47:18.871272', '72798', '68082', '1834'
'07/04/2021 16:47:18.877523', '72825', '68098', '1825'
'07/04/2021 16:47:18.881479', '72872', '68110', '1862'
'07/04/2021 16:47:18.886628', '72905', '68119', '1881'
'07/04/2021 16:47:18.891345', '72936', '68134', '1817'
'07/04/2021 16:47:18.896490', '72979', '68153', '1822'
'07/04/2021 16:47:18.901647', '73015', '68158', '1867'
'07/04/2021 16:47:18.906368', '73044', '68177', '1891'
'07/04/2021 16:47:18.911522', '73085', '68191', '1835'
'07/04/2021 16:47:18.916234', '73131', '68200', '1792'
'07/04/2021 16:47:18.921391', '73162', '68211', '1856'
'07/04/2021 16:47:18.926540', '73205', '68229', '1891'
'07/04/2021 16:47:18.931773', '73242', '68242', '1831'
'07/04/2021 16:47:18.936274', '73276', '68258', '1818'
'07/04/2021 16:47:18.941391', '73316', '68270', '1873'
'07/04/2021 16:47:18.946553', '73360', '68283', '1899'
'07/04/2021 16:47:18.951295', '73401', '68298', '1847'
'07/04/2021 16:47:18.956461', '73434', '68318', '1824'
'07/04/2021 16:47:18.961663', '73475', '68329', '1872'
'07/04/2021 16:47:18.966784', '73509', '68343', '1887'
'07/04/2021 16:47:18.971532', '73542', '68354', '1843'
'07/04/2021 16:47:18.976281', '73585', '68374', '1827'
'07/04/2021 16:47:18.981355', '73614', '68383', '1872'
'07/04/2021 16:47:18.986449', '73656', '68398', '1891'
'07/04/2021 16:47:18.991510', '73694', '68404', '1839'
'07/04/2021 16:47:18.996610', '73729', '68423', '1817'
'07/04/2021 16:47:19.001689', '73759', '68433', '1823'
'07/04/2021 16:47:19.006398', '73800', '68445', '1877'
'07/04/2021 16:47:19.011481', '73836', '68461', '1827'
'07/04/2021 16:47:19.017300', '73878', '68473', '1831'
'07/04/2021 16:47:19.021617', '73912', '68488', '1872'
'07/04/2021 16:47:19.026465', '73947', '68503', '1889'
'07/04/2021 16:47:19.031565', '73976', '68510', '1839'
'07/04/2021 16:47:19.036387', '74014', '68521', '1825'
'07/04/2021 16:47:19.041481', '74037', '68530', '1863'
