'20/04/2021 23:56:39.417200', '71746', '69016', '1835'
'20/04/2021 23:56:39.419124', '71758', '69044', '1845'
'20/04/2021 23:56:39.421423', '71784', '69036', '1859'
'20/04/2021 23:56:39.424132', '71803', '69053', '1867'
'20/04/2021 23:56:39.426439', '71825', '69049', '1865'
'20/04/2021 23:56:39.429151', '71845', '69064', '1854'
'20/04/2021 23:56:39.431494', '71861', '69079', '1842'
'20/04/2021 23:56:39.434203', '71886', '69081', '1840'
'20/04/2021 23:56:39.436527', '71899', '69094', '1872'
'20/04/2021 23:56:39.438854', '71912', '69106', '1861'
'20/04/2021 23:56:39.441564', '71943', '69119', '1875'
'20/04/2021 23:56:39.443893', '71965', '69125', '1878'
'20/04/2021 23:56:39.446602', '71986', '69123', '1875'
'20/04/2021 23:56:39.448928', '72003', '69131', '1858'
'20/04/2021 23:56:39.451347', '72025', '69148', '1844'
'20/04/2021 23:56:39.454078', '72064', '69163', '1840'
'20/04/2021 23:56:39.457317', '72070', '69159', '1855'
'20/04/2021 23:56:39.458855', '72090', '69175', '1866'
'20/04/2021 23:56:39.461568', '72115', '69183', '1876'
'20/04/2021 23:56:39.463910', '72122', '69188', '1934'
'20/04/2021 23:56:39.467303', '72147', '69199', '1865'
'20/04/2021 23:56:39.468848', '72164', '69196', '1853'
'20/04/2021 23:56:39.471567', '72191', '69207', '1835'
'20/04/2021 23:56:39.473966', '72202', '69221', '1838'
'20/04/2021 23:56:39.476318', '72215', '69223', '1843'
'20/04/2021 23:56:39.479068', '72233', '69234', '1861'
'20/04/2021 23:56:39.481408', '72250', '69243', '1871'
'20/04/2021 23:56:39.483759', '72271', '69245', '1885'
'20/04/2021 23:56:39.486508', '72277', '69251', '1878'
'20/04/2021 23:56:39.488874', '72284', '69257', '1866'
'20/04/2021 23:56:39.491610', '72301', '69254', '1855'
'20/04/2021 23:56:39.493968', '72317', '69269', '1849'
'20/04/2021 23:56:39.496329', '72344', '69269', '1856'
'20/04/2021 23:56:39.499093', '72344', '69278', '1866'
'20/04/2021 23:56:39.501441', '72360', '69281', '1872'
'20/04/2021 23:56:39.503801', '72371', '69281', '1879'
'20/04/2021 23:56:39.506549', '72384', '69287', '1871'
'20/04/2021 23:56:39.508918', '72381', '69294', '1856'
'20/04/2021 23:56:39.511297', '72400', '69295', '1856'
'20/04/2021 23:56:39.514068', '72416', '69298', '1785'
'20/04/2021 23:56:39.516428', '72419', '69309', '1842'
'20/04/2021 23:56:39.518796', '72434', '69307', '1849'
'20/04/2021 23:56:39.521553', '72430', '69309', '1872'
'20/04/2021 23:56:39.523927', '72455', '69311', '1877'
'20/04/2021 23:56:39.529183', '72446', '69308', '1850'
'20/04/2021 23:56:39.530011', '72456', '69312', '1847'
'20/04/2021 23:56:39.531528', '72459', '69322', '1842'
'20/04/2021 23:56:39.533830', '72464', '69309', '1837'
'20/04/2021 23:56:39.536525', '72456', '69315', '1844'
'20/04/2021 23:56:39.538832', '72468', '69322', '1853'
'20/04/2021 23:56:39.541145', '72468', '69318', '1870'
'20/04/2021 23:56:39.543856', '72470', '69319', '1875'
'20/04/2021 23:56:39.548856', '72473', '69314', '1826'
'20/04/2021 23:56:39.550145', '72475', '69320', '1824'
'20/04/2021 23:56:39.551277', '72489', '69322', '1827'
'20/04/2021 23:56:39.553744', '72490', '69324', '1833'
'20/04/2021 23:56:39.556439', '72480', '69325', '1845'
'20/04/2021 23:56:39.559653', '72481', '69315', '1873'
'20/04/2021 23:56:39.561392', '72481', '69322', '1882'
'20/04/2021 23:56:39.563726', '72496', '69320', '1892'
'20/04/2021 23:56:39.566428', '72484', '69312', '1886'
'20/04/2021 23:56:39.568757', '72482', '69311', '1870'
'20/04/2021 23:56:39.571079', '72478', '69311', '1845'
'20/04/2021 23:56:39.573787', '72481', '69315', '1830'
'20/04/2021 23:56:39.576119', '72487', '69313', '1835'
'20/04/2021 23:56:39.578833', '72487', '69312', '1845'
'20/04/2021 23:56:39.581153', '72486', '69314', '1857'
'20/04/2021 23:56:39.583883', '72478', '69309', '1872'
'20/04/2021 23:56:39.586204', '72480', '69312', '1884'
'20/04/2021 23:56:39.588928', '72480', '69304', '1858'
'20/04/2021 23:56:39.591267', '72469', '69300', '1847'
'20/04/2021 23:56:39.593594', '72493', '69298', '1847'
'20/04/2021 23:56:39.596328', '72483', '69298', '1850'
'20/04/2021 23:56:39.598677', '72473', '69297', '1865'
'20/04/2021 23:56:39.601408', '72472', '69302', '1873'
'20/04/2021 23:56:39.603756', '72471', '69300', '1881'
'20/04/2021 23:56:39.606105', '72476', '69300', '1875'
'20/04/2021 23:56:39.608833', '72476', '69299', '1852'
'20/04/2021 23:56:39.611577', '72479', '69303', '1838'
'20/04/2021 23:56:39.613535', '72483', '69300', '1840'
'20/04/2021 23:56:39.616652', '72482', '69303', '1858'
'20/04/2021 23:56:39.618613', '72487', '69306', '1868'
'20/04/2021 23:56:39.621353', '72488', '69305', '1875'
'20/04/2021 23:56:39.623715', '72489', '69314', '1886'
'20/04/2021 23:56:39.626080', '72497', '69306', '1886'
'20/04/2021 23:56:39.628824', '72479', '69314', '1872'
'20/04/2021 23:56:39.631186', '72492', '69309', '1860'
'20/04/2021 23:56:39.633548', '72508', '69308', '1854'
'20/04/2021 23:56:39.636315', '72491', '69309', '1856'
'20/04/2021 23:56:39.638787', '72492', '69310', '1867'
'20/04/2021 23:56:39.641240', '72507', '69311', '1878'
'20/04/2021 23:56:39.643600', '72514', '69307', '1889'
'20/04/2021 23:56:39.645972', '72510', '69315', '1883'
'20/04/2021 23:56:39.648734', '72515', '69315', '1863'
'20/04/2021 23:56:39.653320', '72529', '69316', '1826'
'20/04/2021 23:56:39.654574', '72532', '69318', '1798'
'20/04/2021 23:56:39.656570', '72539', '69326', '1803'
'20/04/2021 23:56:39.658490', '72548', '69329', '1825'
'20/04/2021 23:56:39.661181', '72547', '69328', '1857'
'20/04/2021 23:56:39.663608', '72545', '69326', '1877'
'20/04/2021 23:56:39.665918', '72559', '69325', '1878'
'20/04/2021 23:56:39.668609', '72558', '69327', '1865'
'20/04/2021 23:56:39.670920', '72567', '69331', '1875'
'20/04/2021 23:56:39.673615', '72563', '69333', '1839'
'20/04/2021 23:56:39.675928', '72580', '69340', '1839'
'20/04/2021 23:56:39.678626', '72578', '69340', '1849'
'20/04/2021 23:56:39.680936', '72587', '69343', '1862'
'20/04/2021 23:56:39.683646', '72597', '69350', '1863'
'20/04/2021 23:56:39.685965', '72602', '69343', '1860'
'20/04/2021 23:56:39.688687', '72606', '69342', '1849'
'20/04/2021 23:56:39.691011', '72611', '69349', '1843'
'20/04/2021 23:56:39.693734', '72611', '69354', '1832'
'20/04/2021 23:56:39.696045', '72619', '69352', '1834'
'20/04/2021 23:56:39.698363', '72625', '69370', '1847'
'20/04/2021 23:56:39.701092', '72635', '69350', '1859'
'20/04/2021 23:56:39.703410', '72634', '69354', '1869'
'20/04/2021 23:56:39.706138', '72645', '69354', '1867'
'20/04/2021 23:56:39.708337', '72639', '69357', '1873'
'20/04/2021 23:56:39.711067', '72641', '69366', '1813'
'20/04/2021 23:56:39.713712', '72654', '69361', '1841'
'20/04/2021 23:56:39.716046', '72656', '69368', '1843'
'20/04/2021 23:56:39.718374', '72659', '69365', '1904'
'20/04/2021 23:56:39.721119', '72669', '69376', '1872'
'20/04/2021 23:56:39.723469', '72670', '69359', '1874'
'20/04/2021 23:56:39.725808', '72667', '69373', '1874'
'20/04/2021 23:56:39.728545', '72678', '69372', '1865'
'20/04/2021 23:56:39.730907', '72673', '69374', '1855'
'20/04/2021 23:56:39.733653', '72681', '69373', '1845'
'20/04/2021 23:56:39.736008', '72681', '69373', '1842'
'20/04/2021 23:56:39.738350', '72697', '69378', '1853'
'20/04/2021 23:56:39.740813', '72707', '69377', '1857'
'20/04/2021 23:56:39.743553', '72701', '69378', '1879'
'20/04/2021 23:56:39.745912', '72699', '69376', '1837'
'20/04/2021 23:56:39.748276', '72700', '69379', '1866'
'20/04/2021 23:56:39.751019', '72709', '69376', '1846'
'20/04/2021 23:56:39.753369', '72715', '69381', '1839'
'20/04/2021 23:56:39.756131', '72717', '69386', '1840'
'20/04/2021 23:56:39.759291', '72723', '69394', '1855'
'20/04/2021 23:56:39.760857', '72727', '69393', '1819'
'20/04/2021 23:56:39.763607', '72743', '69386', '1866'
'20/04/2021 23:56:39.765974', '72740', '69393', '1865'
'20/04/2021 23:56:39.768339', '72745', '69396', '1854'
'20/04/2021 23:56:39.771108', '72747', '69396', '1841'
'20/04/2021 23:56:39.773486', '72760', '69401', '1836'
'20/04/2021 23:56:39.782928', '72766', '69397', '1854'
'20/04/2021 23:56:39.785922', '72768', '69409', '1872'
'20/04/2021 23:56:39.787776', '72773', '69400', '1866'
'20/04/2021 23:56:39.788895', '72783', '69407', '1861'
'20/04/2021 23:56:39.789625', '72778', '69411', '1859'
'20/04/2021 23:56:39.790751', '72786', '69413', '1872'
'20/04/2021 23:56:39.791482', '72802', '69409', '1850'
'20/04/2021 23:56:39.793385', '72791', '69408', '1843'
'20/04/2021 23:56:39.795698', '72799', '69414', '1842'
'20/04/2021 23:56:39.798399', '72813', '69420', '1855'
'20/04/2021 23:56:39.800714', '72813', '69423', '1871'
'20/04/2021 23:56:39.803420', '72822', '69419', '1872'
'20/04/2021 23:56:39.805740', '72821', '69424', '1859'
'20/04/2021 23:56:39.808439', '72831', '69428', '1869'
'20/04/2021 23:56:39.810758', '72839', '69431', '1856'
'20/04/2021 23:56:39.813478', '72838', '69430', '1845'
'20/04/2021 23:56:39.815796', '72839', '69433', '1869'
'20/04/2021 23:56:39.818518', '72841', '69426', '1850'
'20/04/2021 23:56:39.820839', '72846', '69431', '1866'
'20/04/2021 23:56:39.823155', '72840', '69437', '1874'
'20/04/2021 23:56:39.825882', '72857', '69434', '1870'
'20/04/2021 23:56:39.828200', '72853', '69429', '1858'
'20/04/2021 23:56:39.830938', '72863', '69440', '1845'
'20/04/2021 23:56:39.833276', '72866', '69440', '1845'
'20/04/2021 23:56:39.835995', '72844', '69438', '1850'
'20/04/2021 23:56:39.838282', '72847', '69435', '1904'
'20/04/2021 23:56:39.840613', '72842', '69432', '1861'
'20/04/2021 23:56:39.843682', '72834', '69422', '1875'
'20/04/2021 23:56:39.845629', '72820', '69413', '1887'
'20/04/2021 23:56:39.848362', '72805', '69403', '1862'
'20/04/2021 23:56:39.850707', '72790', '69395', '1855'
'20/04/2021 23:56:39.853449', '72753', '69381', '1843'
'20/04/2021 23:56:39.855791', '72740', '69367', '1846'
'20/04/2021 23:56:39.858139', '72711', '69355', '1855'
'20/04/2021 23:56:39.861557', '72671', '69331', '1858'
'20/04/2021 23:56:39.863126', '72634', '69312', '1859'
'20/04/2021 23:56:39.865876', '72611', '69290', '1857'
'20/04/2021 23:56:39.868371', '72543', '69276', '1841'
'20/04/2021 23:56:39.870734', '72523', '69263', '1830'
'20/04/2021 23:56:39.873098', '72477', '69243', '1825'
'20/04/2021 23:56:39.875835', '72439', '69214', '1834'
'20/04/2021 23:56:39.878181', '72378', '69193', '1840'
'20/04/2021 23:56:39.880538', '72344', '69176', '1857'
'20/04/2021 23:56:39.883305', '72297', '69154', '1868'
'20/04/2021 23:56:39.885676', '72247', '69129', '1872'
'20/04/2021 23:56:39.888040', '72205', '69106', '1861'
'20/04/2021 23:56:39.890835', '72157', '69078', '1846'
'20/04/2021 23:56:39.893192', '72109', '69066', '1901'
'20/04/2021 23:56:39.895553', '72056', '69050', '1840'
'20/04/2021 23:56:39.898327', '72006', '69022', '1856'
'20/04/2021 23:56:39.901937', '71958', '68995', '1870'
'20/04/2021 23:56:39.903537', '71909', '68983', '1867'
'20/04/2021 23:56:39.907326', '71851', '68956', '1869'
'20/04/2021 23:56:39.908442', '71807', '68936', '1872'
'20/04/2021 23:56:39.910492', '71763', '68929', '1856'
'20/04/2021 23:56:39.913188', '71725', '68895', '1846'
'20/04/2021 23:56:39.915499', '71673', '68868', '1845'
'20/04/2021 23:56:39.918197', '71624', '68854', '1851'
'20/04/2021 23:56:39.920511', '71570', '68839', '1861'
'20/04/2021 23:56:39.923212', '71538', '68826', '1867'
'20/04/2021 23:56:39.925527', '71492', '68798', '1872'
'20/04/2021 23:56:39.928231', '71448', '68785', '1858'
'20/04/2021 23:56:39.930540', '71422', '68762', '1843'
'20/04/2021 23:56:39.933268', '71380', '68757', '1839'
'20/04/2021 23:56:39.935572', '71342', '68741', '1835'
'20/04/2021 23:56:39.938300', '71314', '68724', '1840'
'20/04/2021 23:56:39.940621', '71293', '68713', '1851'
'20/04/2021 23:56:39.942940', '71262', '68695', '1870'
'20/04/2021 23:56:39.945656', '71239', '68692', '1872'
'20/04/2021 23:56:39.947987', '71209', '68686', '1871'
'20/04/2021 23:56:39.950710', '71191', '68673', '1858'
