'20/04/2021 23:56:40.315072', '71947', '68938', '1822'
'20/04/2021 23:56:40.319634', '71954', '68937', '1862'
'20/04/2021 23:56:40.320777', '71956', '68946', '1854'
'20/04/2021 23:56:40.322318', '71966', '68950', '1863'
'20/04/2021 23:56:40.325030', '71980', '68948', '1873'
'20/04/2021 23:56:40.327222', '71979', '68948', '1868'
'20/04/2021 23:56:40.329934', '72005', '68947', '1859'
'20/04/2021 23:56:40.332275', '71999', '68958', '1840'
'20/04/2021 23:56:40.334994', '72000', '68962', '1839'
'20/04/2021 23:56:40.337328', '72015', '68966', '1840'
'20/04/2021 23:56:40.340050', '72015', '68969', '1855'
'20/04/2021 23:56:40.342377', '72026', '68979', '1863'
'20/04/2021 23:56:40.344727', '72036', '68976', '1872'
'20/04/2021 23:56:40.347469', '72041', '68979', '1871'
'20/04/2021 23:56:40.349805', '72046', '68978', '1857'
'20/04/2021 23:56:40.352539', '72049', '68985', '1841'
'20/04/2021 23:56:40.354886', '72064', '68991', '1849'
'20/04/2021 23:56:40.357224', '72070', '68993', '1901'
'20/04/2021 23:56:40.359960', '72088', '68995', '1856'
'20/04/2021 23:56:40.362315', '72095', '68998', '1870'
'20/04/2021 23:56:40.364673', '72093', '69006', '1865'
'20/04/2021 23:56:40.367417', '72103', '69004', '1856'
'20/04/2021 23:56:40.369769', '72108', '69013', '1842'
'20/04/2021 23:56:40.372765', '72119', '69002', '1832'
'20/04/2021 23:56:40.374734', '72132', '69012', '1826'
'20/04/2021 23:56:40.377260', '72136', '69019', '1830'
'20/04/2021 23:56:40.379607', '72146', '69015', '1893'
'20/04/2021 23:56:40.382363', '72142', '69016', '1850'
'20/04/2021 23:56:40.384734', '72151', '69019', '1860'
'20/04/2021 23:56:40.387103', '72164', '69024', '1861'
'20/04/2021 23:56:40.389866', '72168', '69027', '1852'
'20/04/2021 23:56:40.392234', '72166', '69022', '1843'
'20/04/2021 23:56:40.394589', '72170', '69027', '1841'
'20/04/2021 23:56:40.397349', '72181', '69028', '1855'
'20/04/2021 23:56:40.401333', '72186', '69031', '1865'
'20/04/2021 23:56:40.402564', '72186', '69037', '1865'
'20/04/2021 23:56:40.404882', '72203', '69052', '1868'
'20/04/2021 23:56:40.407303', '72199', '69035', '1856'
'20/04/2021 23:56:40.409594', '72211', '69043', '1850'
'20/04/2021 23:56:40.412303', '72208', '69039', '1839'
'20/04/2021 23:56:40.414597', '72219', '69043', '1826'
'20/04/2021 23:56:40.417319', '72225', '69043', '1828'
'20/04/2021 23:56:40.419618', '72240', '69046', '1838'
'20/04/2021 23:56:40.422327', '72227', '69054', '1856'
'20/04/2021 23:56:40.424629', '72235', '69046', '1861'
'20/04/2021 23:56:40.427337', '72226', '69048', '1847'
'20/04/2021 23:56:40.429642', '72229', '69040', '1840'
'20/04/2021 23:56:40.432363', '72226', '69045', '1840'
'20/04/2021 23:56:40.434686', '72221', '69039', '1837'
'20/04/2021 23:56:40.437011', '72201', '69027', '1840'
'20/04/2021 23:56:40.439814', '72188', '69021', '1851'
'20/04/2021 23:56:40.442141', '72174', '69008', '1856'
'20/04/2021 23:56:40.444863', '72155', '68995', '1857'
'20/04/2021 23:56:40.447177', '72114', '68979', '1857'
'20/04/2021 23:56:40.449509', '72095', '68962', '1854'
'20/04/2021 23:56:40.453502', '72053', '68956', '1840'
'20/04/2021 23:56:40.455105', '72016', '68927', '1840'
'20/04/2021 23:56:40.457040', '71978', '68903', '1847'
'20/04/2021 23:56:40.460501', '71940', '68882', '1867'
'20/04/2021 23:56:40.462049', '71885', '68870', '1872'
'20/04/2021 23:56:40.464767', '71850', '68843', '1873'
'20/04/2021 23:56:40.467110', '71796', '68817', '1861'
'20/04/2021 23:56:40.469830', '71753', '68805', '1851'
'20/04/2021 23:56:40.472160', '71698', '68780', '1845'
'20/04/2021 23:56:40.474508', '71641', '68755', '1851'
'20/04/2021 23:56:40.477327', '71585', '68729', '1845'
'20/04/2021 23:56:40.479678', '71544', '68708', '1859'
'20/04/2021 23:56:40.482024', '71493', '68680', '1865'
'20/04/2021 23:56:40.484757', '71431', '68654', '1867'
'20/04/2021 23:56:40.487112', '71375', '68632', '1858'
'20/04/2021 23:56:40.489458', '71316', '68611', '1851'
'20/04/2021 23:56:40.492200', '71264', '68587', '1838'
'20/04/2021 23:56:40.494550', '71203', '68559', '1835'
'20/04/2021 23:56:40.497227', '71148', '68539', '1843'
'20/04/2021 23:56:40.499570', '71098', '68512', '1854'
'20/04/2021 23:56:40.501926', '71031', '68496', '1860'
'20/04/2021 23:56:40.504686', '70995', '68460', '1870'
'20/04/2021 23:56:40.507044', '70940', '68450', '1859'
'20/04/2021 23:56:40.509394', '70875', '68425', '1850'
'20/04/2021 23:56:40.512011', '70848', '68406', '1840'
'20/04/2021 23:56:40.514366', '70788', '68389', '1834'
'20/04/2021 23:56:40.517187', '70756', '68366', '1843'
'20/04/2021 23:56:40.519551', '70714', '68344', '1856'
'20/04/2021 23:56:40.521926', '70678', '68344', '1872'
'20/04/2021 23:56:40.526844', '70649', '68323', '1865'
'20/04/2021 23:56:40.528059', '70621', '68314', '1910'
'20/04/2021 23:56:40.529575', '70590', '68295', '1856'
'20/04/2021 23:56:40.531897', '70558', '68285', '1811'
'20/04/2021 23:56:40.534755', '70534', '68278', '1795'
'20/04/2021 23:56:40.537048', '70513', '68265', '1814'
'20/04/2021 23:56:40.539430', '70490', '68257', '1841'
'20/04/2021 23:56:40.542139', '70477', '68241', '1866'
'20/04/2021 23:56:40.544438', '70467', '68244', '1875'
'20/04/2021 23:56:40.547145', '70447', '68231', '1921'
'20/04/2021 23:56:40.549453', '70435', '68233', '1863'
'20/04/2021 23:56:40.552156', '70428', '68233', '1849'
'20/04/2021 23:56:40.554475', '70426', '68223', '1845'
'20/04/2021 23:56:40.556787', '70424', '68230', '1849'
'20/04/2021 23:56:40.559502', '70419', '68225', '1859'
'20/04/2021 23:56:40.561820', '70421', '68225', '1872'
'20/04/2021 23:56:40.564531', '70421', '68220', '1873'
'20/04/2021 23:56:40.566860', '70417', '68217', '1871'
'20/04/2021 23:56:40.569565', '70403', '68213', '1859'
'20/04/2021 23:56:40.571894', '70419', '68218', '1811'
'20/04/2021 23:56:40.574599', '70415', '68218', '1847'
'20/04/2021 23:56:40.577625', '70422', '68215', '1858'
'20/04/2021 23:56:40.579565', '70416', '68215', '1871'
'20/04/2021 23:56:40.581899', '70419', '68216', '1873'
'20/04/2021 23:56:40.584239', '70423', '68216', '1883'
'20/04/2021 23:56:40.587714', '70431', '68217', '1861'
'20/04/2021 23:56:40.589265', '70423', '68218', '1855'
'20/04/2021 23:56:40.591991', '70437', '68221', '1882'
'20/04/2021 23:56:40.594329', '70442', '68217', '1849'
'20/04/2021 23:56:40.597068', '70441', '68226', '1798'
'20/04/2021 23:56:40.599399', '70441', '68221', '1854'
'20/04/2021 23:56:40.601749', '70452', '68232', '1862'
'20/04/2021 23:56:40.604492', '70455', '68237', '1866'
'20/04/2021 23:56:40.606836', '70450', '68231', '1856'
'20/04/2021 23:56:40.609565', '70461', '68228', '1843'
'20/04/2021 23:56:40.611919', '70460', '68232', '1837'
'20/04/2021 23:56:40.614275', '70468', '68240', '1835'
'20/04/2021 23:56:40.617012', '70470', '68232', '1839'
'20/04/2021 23:56:40.619353', '70468', '68230', '1841'
'20/04/2021 23:56:40.621713', '70473', '68233', '1860'
'20/04/2021 23:56:40.624477', '70474', '68248', '1867'
'20/04/2021 23:56:40.626831', '70483', '68243', '1866'
'20/04/2021 23:56:40.629176', '70481', '68239', '1861'
'20/04/2021 23:56:40.631936', '70502', '68249', '1851'
'20/04/2021 23:56:40.634303', '70506', '68261', '1842'
'20/04/2021 23:56:40.636675', '70503', '68252', '1840'
'20/04/2021 23:56:40.639418', '70515', '68258', '1845'
'20/04/2021 23:56:40.641829', '70524', '68263', '1856'
'20/04/2021 23:56:40.644138', '70530', '68257', '1865'
'20/04/2021 23:56:40.646908', '70541', '68264', '1861'
'20/04/2021 23:56:40.652500', '70542', '68265', '1825'
'20/04/2021 23:56:40.654190', '70552', '68272', '1822'
'20/04/2021 23:56:40.655120', '70560', '68278', '1824'
'20/04/2021 23:56:40.656643', '70573', '68281', '1830'
'20/04/2021 23:56:40.659338', '70590', '68278', '1850'
'20/04/2021 23:56:40.661634', '70589', '68287', '1866'
'20/04/2021 23:56:40.664336', '70591', '68296', '1875'
'20/04/2021 23:56:40.666635', '70594', '68295', '1872'
'20/04/2021 23:56:40.669336', '70605', '68292', '1863'
'20/04/2021 23:56:40.671638', '70621', '68298', '1856'
'20/04/2021 23:56:40.674337', '70625', '68303', '1845'
'20/04/2021 23:56:40.676641', '70642', '68303', '1842'
'20/04/2021 23:56:40.679558', '70655', '68299', '1854'
'20/04/2021 23:56:40.681882', '70652', '68307', '1862'
'20/04/2021 23:56:40.684186', '70658', '68320', '1867'
'20/04/2021 23:56:40.686648', '70660', '68316', '1863'
'20/04/2021 23:56:40.689355', '70671', '68313', '1856'
'20/04/2021 23:56:40.691685', '70678', '68322', '1847'
'20/04/2021 23:56:40.694395', '70689', '68330', '1842'
'20/04/2021 23:56:40.696733', '70702', '68317', '1837'
'20/04/2021 23:56:40.700551', '70699', '68328', '1851'
'20/04/2021 23:56:40.701701', '70709', '68338', '1827'
'20/04/2021 23:56:40.704020', '70719', '68334', '1859'
'20/04/2021 23:56:40.706748', '70713', '68334', '1859'
'20/04/2021 23:56:40.709079', '70715', '68331', '1850'
'20/04/2021 23:56:40.711795', '70729', '68332', '1840'
'20/04/2021 23:56:40.714132', '70728', '68335', '1834'
'20/04/2021 23:56:40.716492', '70728', '68336', '1835'
'20/04/2021 23:56:40.719218', '70730', '68338', '1872'
'20/04/2021 23:56:40.721555', '70732', '68340', '1814'
'20/04/2021 23:56:40.724300', '70743', '68340', '1824'
'20/04/2021 23:56:40.726635', '70748', '68339', '1858'
'20/04/2021 23:56:40.728980', '70741', '68342', '1856'
'20/04/2021 23:56:40.731734', '70737', '68346', '1840'
'20/04/2021 23:56:40.734079', '70749', '68338', '1835'
'20/04/2021 23:56:40.736811', '70739', '68336', '1838'
'20/04/2021 23:56:40.739153', '70734', '68345', '1846'
'20/04/2021 23:56:40.741538', '70732', '68335', '1856'
'20/04/2021 23:56:40.744298', '70738', '68332', '1862'
'20/04/2021 23:56:40.746668', '70738', '68332', '1864'
'20/04/2021 23:56:40.749022', '70730', '68332', '1855'
'20/04/2021 23:56:40.751767', '70721', '68331', '1843'
'20/04/2021 23:56:40.753983', '70736', '68340', '1840'
'20/04/2021 23:56:40.756539', '70728', '68326', '1841'
'20/04/2021 23:56:40.759304', '70724', '68328', '1857'
'20/04/2021 23:56:40.761553', '70719', '68324', '1873'
'20/04/2021 23:56:40.763923', '70730', '68334', '1875'
'20/04/2021 23:56:40.766690', '70724', '68326', '1872'
'20/04/2021 23:56:40.769061', '70719', '68322', '1858'
'20/04/2021 23:56:40.771423', '70719', '68326', '1813'
'20/04/2021 23:56:40.776444', '70719', '68323', '1835'
'20/04/2021 23:56:40.777673', '70726', '68329', '1840'
'20/04/2021 23:56:40.779194', '70725', '68323', '1847'
'20/04/2021 23:56:40.781503', '70708', '68321', '1856'
'20/04/2021 23:56:40.784227', '70730', '68329', '1871'
'20/04/2021 23:56:40.786535', '70732', '68320', '1871'
'20/04/2021 23:56:40.790103', '70725', '68331', '1846'
'20/04/2021 23:56:40.791616', '70728', '68328', '1841'
'20/04/2021 23:56:40.793927', '70725', '68328', '1840'
'20/04/2021 23:56:40.796621', '70738', '68323', '1833'
'20/04/2021 23:56:40.798926', '70734', '68329', '1847'
'20/04/2021 23:56:40.801623', '70736', '68331', '1859'
'20/04/2021 23:56:40.803934', '70736', '68334', '1872'
'20/04/2021 23:56:40.806637', '70743', '68336', '1868'
'20/04/2021 23:56:40.808960', '70758', '68334', '1859'
'20/04/2021 23:56:40.811681', '70756', '68341', '1855'
'20/04/2021 23:56:40.814007', '70750', '68345', '1845'
'20/04/2021 23:56:40.816340', '70757', '68350', '1844'
'20/04/2021 23:56:40.819047', '70765', '68351', '1855'
'20/04/2021 23:56:40.821363', '70763', '68348', '1861'
'20/04/2021 23:56:40.824092', '70770', '68346', '1865'
'20/04/2021 23:56:40.827068', '70767', '68340', '1857'
'20/04/2021 23:56:40.829004', '70770', '68350', '1847'
'20/04/2021 23:56:40.831345', '70771', '68354', '1841'
'20/04/2021 23:56:40.833992', '70792', '68357', '1844'
'20/04/2021 23:56:40.836328', '70786', '68355', '1843'
'20/04/2021 23:56:40.839061', '70786', '68354', '1856'
'20/04/2021 23:56:40.841420', '70791', '68360', '1858'
'20/04/2021 23:56:40.844152', '70793', '68371', '1867'
'20/04/2021 23:56:40.846502', '70793', '68366', '1872'
'20/04/2021 23:56:40.848842', '70795', '68363', '1868'
'20/04/2021 23:56:40.851567', '70791', '68358', '1856'
'20/04/2021 23:56:40.853917', '70802', '68360', '1850'
'20/04/2021 23:56:40.856274', '70798', '68369', '1855'
'20/04/2021 23:56:40.859011', '70817', '68370', '1862'
'20/04/2021 23:56:40.861352', '70826', '68368', '1890'
'20/04/2021 23:56:40.864102', '70827', '68380', '1872'
'20/04/2021 23:56:40.866453', '70824', '68382', '1872'
'20/04/2021 23:56:40.868805', '70834', '68376', '1859'
'20/04/2021 23:56:40.871549', '70834', '68379', '1844'
'20/04/2021 23:56:40.873907', '70837', '68382', '1837'
'20/04/2021 23:56:40.876274', '70847', '68376', '1840'
'20/04/2021 23:56:40.879021', '70856', '68396', '1843'
'20/04/2021 23:56:40.881372', '70864', '68392', '1856'
'20/04/2021 23:56:40.883738', '70866', '68400', '1861'
'20/04/2021 23:56:40.886300', '70879', '68393', '1859'
'20/04/2021 23:56:40.889064', '70887', '68394', '1855'
'20/04/2021 23:56:40.892031', '70894', '68404', '1834'
'20/04/2021 23:56:40.894011', '70908', '68405', '1794'
'20/04/2021 23:56:40.896368', '70915', '68407', '1811'
'20/04/2021 23:56:40.901038', '70920', '68420', '1857'
'20/04/2021 23:56:40.903148', '70938', '68417', '1867'
'20/04/2021 23:56:40.904278', '70950', '68432', '1870'
'20/04/2021 23:56:40.906178', '70956', '68413', '1869'
'20/04/2021 23:56:40.908883', '70967', '68431', '1852'
'20/04/2021 23:56:40.911178', '70981', '68436', '1851'
'20/04/2021 23:56:40.913883', '70990', '68440', '1840'
'20/04/2021 23:56:40.916181', '71002', '68447', '1840'
'20/04/2021 23:56:40.918890', '71005', '68460', '1845'
'20/04/2021 23:56:40.921192', '71018', '68454', '1858'
'20/04/2021 23:56:40.923900', '71038', '68459', '1861'
'20/04/2021 23:56:40.926204', '71049', '68463', '1856'
'20/04/2021 23:56:40.928912', '71054', '68470', '1853'
'20/04/2021 23:56:40.931222', '71071', '68480', '1841'
'20/04/2021 23:56:40.933928', '71077', '68483', '1837'
'20/04/2021 23:56:40.936242', '71091', '68486', '1834'
'20/04/2021 23:56:40.938959', '71103', '68492', '1845'
'20/04/2021 23:56:40.941340', '71122', '68498', '1853'
'20/04/2021 23:56:40.943657', '71124', '68502', '1862'
'20/04/2021 23:56:40.946372', '71151', '68508', '1856'
'20/04/2021 23:56:40.948704', '71152', '68514', '1853'
'20/04/2021 23:56:40.951425', '71162', '68515', '1840'
'20/04/2021 23:56:40.953824', '71173', '68527', '1829'
'20/04/2021 23:56:40.956154', '71180', '68535', '1830'
'20/04/2021 23:56:40.958818', '71191', '68528', '1843'
'20/04/2021 23:56:40.961153', '71213', '68545', '1856'
'20/04/2021 23:56:40.963890', '71220', '68543', '1872'
'20/04/2021 23:56:40.966223', '71234', '68544', '1872'
'20/04/2021 23:56:40.968560', '71242', '68553', '1872'
'20/04/2021 23:56:40.971312', '71257', '68557', '1856'
'20/04/2021 23:56:40.973647', '71277', '68569', '1850'
'20/04/2021 23:56:40.976387', '71280', '68570', '1846'
'20/04/2021 23:56:40.978739', '71292', '68574', '1856'
'20/04/2021 23:56:40.981098', '71303', '68580', '1866'
'20/04/2021 23:56:40.983831', '71321', '68583', '1874'
'20/04/2021 23:56:40.986171', '71327', '68591', '1872'
'20/04/2021 23:56:40.988757', '71348', '68595', '1855'
'20/04/2021 23:56:40.991115', '71355', '68600', '1851'
'20/04/2021 23:56:40.994729', '71353', '68602', '1856'
'20/04/2021 23:56:40.996301', '71368', '68612', '1843'
'20/04/2021 23:56:40.998653', '71369', '68614', '1851'
'20/04/2021 23:56:41.001013', '71393', '68615', '1853'
'20/04/2021 23:56:41.003759', '71386', '68614', '1855'
'20/04/2021 23:56:41.006126', '71404', '68625', '1854'
'20/04/2021 23:56:41.008498', '71398', '68628', '1850'
'20/04/2021 23:56:41.011275', '71417', '68621', '1840'
'20/04/2021 23:56:41.013635', '71419', '68614', '1839'
'20/04/2021 23:56:41.016011', '71411', '68628', '1840'
'20/04/2021 23:56:41.018766', '71418', '68617', '1848'
'20/04/2021 23:56:41.021138', '71404', '68616', '1856'
'20/04/2021 23:56:41.025275', '71389', '68610', '1857'
'20/04/2021 23:56:41.026503', '71379', '68604', '1856'
'20/04/2021 23:56:41.028819', '71362', '68608', '1841'
'20/04/2021 23:56:41.031141', '71332', '68583', '1836'
'20/04/2021 23:56:41.033438', '71316', '68561', '1831'
'20/04/2021 23:56:41.036141', '71286', '68555', '1839'
'20/04/2021 23:56:41.038440', '71246', '68526', '1840'
'20/04/2021 23:56:41.041005', '71214', '68506', '1847'
'20/04/2021 23:56:41.043715', '71178', '68498', '1858'
'20/04/2021 23:56:41.046029', '71138', '68483', '1866'
'20/04/2021 23:56:41.048741', '71095', '68464', '1863'
'20/04/2021 23:56:41.051047', '71045', '68439', '1850'
'20/04/2021 23:56:41.053755', '71002', '68420', '1838'
'20/04/2021 23:56:41.056079', '70950', '68388', '1829'
'20/04/2021 23:56:41.058390', '70900', '68367', '1840'
'20/04/2021 23:56:41.061117', '70844', '68352', '1855'
'20/04/2021 23:56:41.063432', '70795', '68327', '1865'
'20/04/2021 23:56:41.066151', '70743', '68301', '1869'
'20/04/2021 23:56:41.068487', '70675', '68276', '1857'
'20/04/2021 23:56:41.071209', '70624', '68254', '1854'
'20/04/2021 23:56:41.073539', '70573', '68222', '1841'
'20/04/2021 23:56:41.075960', '70518', '68204', '1843'
'20/04/2021 23:56:41.078407', '70458', '68189', '1846'
'20/04/2021 23:56:41.081140', '70407', '68159', '1857'
'20/04/2021 23:56:41.083483', '70348', '68129', '1859'
'20/04/2021 23:56:41.085820', '70302', '68117', '1869'
'20/04/2021 23:56:41.088550', '70255', '68083', '1857'
'20/04/2021 23:56:41.090916', '70208', '68073', '1845'
'20/04/2021 23:56:41.093660', '70173', '68056', '1834'
'20/04/2021 23:56:41.096995', '70125', '68031', '1831'
'20/04/2021 23:56:41.098552', '70082', '68011', '1840'
'20/04/2021 23:56:41.100902', '70047', '67987', '1845'
'20/04/2021 23:56:41.103642', '70005', '67981', '1850'
'20/04/2021 23:56:41.105994', '69974', '67953', '1861'
'20/04/2021 23:56:41.108338', '69951', '67952', '1858'
'20/04/2021 23:56:41.111093', '69916', '67934', '1860'
'20/04/2021 23:56:41.113433', '69900', '67925', '1840'
'20/04/2021 23:56:41.115787', '69872', '67912', '1838'
'20/04/2021 23:56:41.118534', '69852', '67900', '1838'
'20/04/2021 23:56:41.120896', '69830', '67890', '1845'
'20/04/2021 23:56:41.123243', '69817', '67888', '1850'
'20/04/2021 23:56:41.125995', '69803', '67880', '1872'
'20/04/2021 23:56:41.128349', '69785', '67868', '1846'
'20/04/2021 23:56:41.131129', '69784', '67864', '1840'
'20/04/2021 23:56:41.133496', '69776', '67868', '1839'
'20/04/2021 23:56:41.135873', '69775', '67860', '1840'
'20/04/2021 23:56:41.138229', '69764', '67855', '1813'
'20/04/2021 23:56:41.141049', '69771', '67854', '1859'
'20/04/2021 23:56:41.143408', '69771', '67854', '1862'
'20/04/2021 23:56:41.145777', '69777', '67857', '1869'
'20/04/2021 23:56:41.151015', '69772', '67860', '1849'
'20/04/2021 23:56:41.152235', '69788', '67874', '1847'
'20/04/2021 23:56:41.153409', '69798', '67874', '1848'
'20/04/2021 23:56:41.155714', '69809', '67875', '1843'
'20/04/2021 23:56:41.158407', '69815', '67870', '1849'
'20/04/2021 23:56:41.160726', '69817', '67876', '1855'
'20/04/2021 23:56:41.163413', '69827', '67886', '1867'
'20/04/2021 23:56:41.165734', '69849', '67882', '1872'
'20/04/2021 23:56:41.168423', '69857', '67890', '1860'
'20/04/2021 23:56:41.170739', '69866', '67900', '1851'
'20/04/2021 23:56:41.173431', '69881', '67912', '1838'
'20/04/2021 23:56:41.175750', '69891', '67916', '1834'
'20/04/2021 23:56:41.178462', '69910', '67926', '1835'
'20/04/2021 23:56:41.180775', '69920', '67920', '1899'
'20/04/2021 23:56:41.183491', '69943', '67930', '1851'
'20/04/2021 23:56:41.185808', '69948', '67932', '1856'
'20/04/2021 23:56:41.188132', '69956', '67944', '1852'
'20/04/2021 23:56:41.190846', '69982', '67949', '1840'
'20/04/2021 23:56:41.193253', '69989', '67953', '1838'
'20/04/2021 23:56:41.195963', '70007', '67965', '1882'
'20/04/2021 23:56:41.198299', '70015', '67962', '1853'
'20/04/2021 23:56:41.200616', '70038', '67982', '1863'
'20/04/2021 23:56:41.203154', '70046', '67983', '1862'
'20/04/2021 23:56:41.205882', '70056', '67997', '1871'
'20/04/2021 23:56:41.208242', '70077', '67995', '1866'
'20/04/2021 23:56:41.210962', '70086', '68010', '1856'
'20/04/2021 23:56:41.213303', '70104', '68011', '1871'
'20/04/2021 23:56:41.215631', '70127', '68017', '1845'
'20/04/2021 23:56:41.219431', '70138', '68024', '1856'
'20/04/2021 23:56:41.220593', '70152', '68032', '1861'
'20/04/2021 23:56:41.223334', '70169', '68033', '1865'
'20/04/2021 23:56:41.225687', '70193', '68045', '1868'
'20/04/2021 23:56:41.228421', '70202', '68051', '1860'
'20/04/2021 23:56:41.230779', '70219', '68069', '1851'
'20/04/2021 23:56:41.233129', '70239', '68066', '1867'
'20/04/2021 23:56:41.235882', '70252', '68083', '1840'
'20/04/2021 23:56:41.238224', '70273', '68078', '1843'
'20/04/2021 23:56:41.240616', '70298', '68086', '1854'
'20/04/2021 23:56:41.243357', '70310', '68103', '1857'
'20/04/2021 23:56:41.245727', '70317', '68110', '1862'
'20/04/2021 23:56:41.248082', '70334', '68111', '1858'
'20/04/2021 23:56:41.250824', '70360', '68127', '1855'
'20/04/2021 23:56:41.253171', '70372', '68128', '1841'
'20/04/2021 23:56:41.255538', '70390', '68134', '1837'
'20/04/2021 23:56:41.258305', '70397', '68147', '1842'
'20/04/2021 23:56:41.260680', '70410', '68144', '1856'
'20/04/2021 23:56:41.263040', '70429', '68161', '1872'
'20/04/2021 23:56:41.265789', '70438', '68163', '1873'
'20/04/2021 23:56:41.268150', '70448', '68160', '1867'
'20/04/2021 23:56:41.270740', '70457', '68172', '1847'
'20/04/2021 23:56:41.274989', '70477', '68173', '1835'
'20/04/2021 23:56:41.276204', '70476', '68169', '1840'
'20/04/2021 23:56:41.278125', '70488', '68157', '1845'
'20/04/2021 23:56:41.280809', '70486', '68179', '1858'
'20/04/2021 23:56:41.283115', '70492', '68188', '1862'
'20/04/2021 23:56:41.285801', '70490', '68189', '1867'
'20/04/2021 23:56:41.288110', '70501', '68180', '1856'
'20/04/2021 23:56:41.290799', '70509', '68185', '1856'
'20/04/2021 23:56:41.293112', '70506', '68189', '1847'
'20/04/2021 23:56:41.295462', '70512', '68186', '1840'
'20/04/2021 23:56:41.298159', '70517', '68189', '1840'
'20/04/2021 23:56:41.300477', '70516', '68192', '1854'
'20/04/2021 23:56:41.303178', '70512', '68195', '1837'
'20/04/2021 23:56:41.306533', '70511', '68191', '1853'
'20/04/2021 23:56:41.308064', '70508', '68191', '1843'
'20/04/2021 23:56:41.312476', '70506', '68188', '1822'
'20/04/2021 23:56:41.313614', '70508', '68193', '1833'
'20/04/2021 23:56:41.315568', '70504', '68180', '1835'
'20/04/2021 23:56:41.318217', '70480', '68172', '1846'
'20/04/2021 23:56:41.320428', '70494', '68184', '1856'
'20/04/2021 23:56:41.323143', '70488', '68175', '1861'
'20/04/2021 23:56:41.325477', '70477', '68167', '1858'
'20/04/2021 23:56:41.328191', '70477', '68171', '1856'
'20/04/2021 23:56:41.330527', '70469', '68169', '1852'
'20/04/2021 23:56:41.332865', '70458', '68168', '1846'
'20/04/2021 23:56:41.335579', '70462', '68160', '1843'
'20/04/2021 23:56:41.337915', '70459', '68171', '1847'
'20/04/2021 23:56:41.340643', '70459', '68166', '1858'
'20/04/2021 23:56:41.342983', '70458', '68162', '1863'
'20/04/2021 23:56:41.345726', '70455', '68159', '1866'
'20/04/2021 23:56:41.348062', '70467', '68164', '1858'
'20/04/2021 23:56:41.350395', '70456', '68152', '1851'
'20/04/2021 23:56:41.353131', '70466', '68165', '1840'
'20/04/2021 23:56:41.355487', '70469', '68165', '1835'
'20/04/2021 23:56:41.357831', '70464', '68158', '1841'
'20/04/2021 23:56:41.360565', '70481', '68171', '1851'
'20/04/2021 23:56:41.362916', '70485', '68169', '1855'
'20/04/2021 23:56:41.365669', '70483', '68171', '1870'
'20/04/2021 23:56:41.368022', '70484', '68174', '1867'
'20/04/2021 23:56:41.370554', '70496', '68177', '1853'
'20/04/2021 23:56:41.372927', '70507', '68175', '1846'
'20/04/2021 23:56:41.375296', '70505', '68179', '1842'
'20/04/2021 23:56:41.378123', '70513', '68186', '1857'
'20/04/2021 23:56:41.380492', '70526', '68196', '1857'
'20/04/2021 23:56:41.382862', '70534', '68182', '1872'
'20/04/2021 23:56:41.385611', '70528', '68196', '1874'
'20/04/2021 23:56:41.387980', '70536', '68197', '1872'
'20/04/2021 23:56:41.390420', '70545', '68198', '1857'
'20/04/2021 23:56:41.392787', '70556', '68209', '1849'
'20/04/2021 23:56:41.395549', '70559', '68204', '1852'
'20/04/2021 23:56:41.399917', '70567', '68204', '1850'
'20/04/2021 23:56:41.401144', '70577', '68214', '1853'
'20/04/2021 23:56:41.404194', '70598', '68204', '1865'
'20/04/2021 23:56:41.405319', '70600', '68217', '1867'
'20/04/2021 23:56:41.408010', '70606', '68222', '1863'
'20/04/2021 23:56:41.410321', '70610', '68222', '1856'
'20/04/2021 23:56:41.413015', '70610', '68228', '1849'
'20/04/2021 23:56:41.415340', '70623', '68227', '1840'
'20/04/2021 23:56:41.418031', '70626', '68231', '1844'
'20/04/2021 23:56:41.420339', '70632', '68241', '1919'
'20/04/2021 23:56:41.423037', '70639', '68238', '1871'
'20/04/2021 23:56:41.425348', '70643', '68248', '1872'
'20/04/2021 23:56:41.428046', '70654', '68242', '1867'
'20/04/2021 23:56:41.430366', '70659', '68251', '1855'
'20/04/2021 23:56:41.432687', '70660', '68251', '1842'
'20/04/2021 23:56:41.435396', '70674', '68245', '1841'
'20/04/2021 23:56:41.437824', '70679', '68252', '1826'
'20/04/2021 23:56:41.440243', '70684', '68262', '1819'
'20/04/2021 23:56:41.442963', '70688', '68270', '1856'
'20/04/2021 23:56:41.445299', '70695', '68266', '1871'
'20/04/2021 23:56:41.448012', '70699', '68274', '1874'
'20/04/2021 23:56:41.450337', '70704', '68269', '1868'
'20/04/2021 23:56:41.452670', '70713', '68270', '1857'
'20/04/2021 23:56:41.455334', '70722', '68273', '1818'
'20/04/2021 23:56:41.457674', '70729', '68275', '1851'
'20/04/2021 23:56:41.460316', '70730', '68285', '1870'
'20/04/2021 23:56:41.462652', '70729', '68276', '1886'
'20/04/2021 23:56:41.465380', '70739', '68281', '1882'
'20/04/2021 23:56:41.467732', '70751', '68278', '1877'
'20/04/2021 23:56:41.470477', '70749', '68290', '1871'
'20/04/2021 23:56:41.472817', '70768', '68290', '1856'
'20/04/2021 23:56:41.475153', '70767', '68288', '1850'
