'07/04/2021 21:36:29.547793', '65604', '62213', '1495'
'07/04/2021 21:36:29.552867', '65600', '62209', '1677'
'07/04/2021 21:36:29.557942', '65604', '62211', '2192'
'07/04/2021 21:36:29.563016', '65596', '62211', '1993'
'07/04/2021 21:36:29.567665', '65595', '62211', '1518'
'07/04/2021 21:36:29.572734', '65584', '62204', '1662'
'07/04/2021 21:36:29.577821', '65589', '62200', '2192'
'07/04/2021 21:36:29.583020', '65584', '62201', '1990'
'07/04/2021 21:36:29.587793', '65578', '62199', '1500'
'07/04/2021 21:36:29.592758', '65566', '62194', '1661'
'07/04/2021 21:36:29.597852', '65566', '62191', '2195'
'07/04/2021 21:36:29.602940', '65554', '62190', '2014'
'07/04/2021 21:36:29.608027', '65553', '62190', '1488'
'07/04/2021 21:36:29.612687', '65539', '62182', '1658'
'07/04/2021 21:36:29.617781', '65538', '62185', '2181'
'07/04/2021 21:36:29.622963', '65539', '62184', '1993'
'07/04/2021 21:36:29.628056', '65550', '62190', '1472'
'07/04/2021 21:36:29.632728', '65546', '62191', '1661'
'07/04/2021 21:36:29.637826', '65560', '62197', '2190'
'07/04/2021 21:36:29.642925', '65571', '62207', '2003'
'07/04/2021 21:36:29.648025', '65590', '62218', '1485'
'07/04/2021 21:36:29.653122', '65604', '62220', '1714'
'07/04/2021 21:36:29.657806', '65625', '62231', '2182'
'07/04/2021 21:36:29.662900', '65643', '62238', '2001'
'07/04/2021 21:36:29.668114', '65665', '62247', '1482'
'07/04/2021 21:36:29.672801', '65675', '62252', '1680'
'07/04/2021 21:36:29.677902', '65680', '62256', '2205'
'07/04/2021 21:36:29.683015', '65691', '62259', '2003'
'07/04/2021 21:36:29.688126', '65702', '62259', '1490'
'07/04/2021 21:36:29.692808', '65696', '62264', '1679'
'07/04/2021 21:36:29.697924', '65698', '62262', '2198'
'07/04/2021 21:36:29.703034', '65702', '62261', '1991'
'07/04/2021 21:36:29.708166', '65708', '62262', '1479'
'07/04/2021 21:36:29.712855', '65700', '62261', '1685'
'07/04/2021 21:36:29.718166', '65706', '62267', '2211'
'07/04/2021 21:36:29.722971', '65717', '62266', '2014'
'07/04/2021 21:36:29.728095', '65730', '62273', '1501'
'07/04/2021 21:36:29.732801', '65736', '62273', '1695'
'07/04/2021 21:36:29.737942', '65753', '62280', '2199'
'07/04/2021 21:36:29.743070', '65773', '62285', '1985'
'07/04/2021 21:36:29.747783', '65796', '62299', '1520'
'07/04/2021 21:36:29.752907', '65816', '62304', '1686'
'07/04/2021 21:36:29.758039', '65847', '62314', '2208'
'07/04/2021 21:36:29.763179', '65869', '62328', '1968'
'07/04/2021 21:36:29.768575', '65902', '62344', '1438'
'07/04/2021 21:36:29.772979', '65942', '62354', '1714'
'07/04/2021 21:36:29.778056', '65980', '62370', '2198'
'07/04/2021 21:36:29.783155', '66009', '62383', '1929'
'07/04/2021 21:36:29.787840', '66048', '62402', '1500'
'07/04/2021 21:36:29.792949', '66091', '62419', '1745'
'07/04/2021 21:36:29.798024', '66140', '62436', '2187'
'07/04/2021 21:36:29.803137', '66175', '62448', '1894'
'07/04/2021 21:36:29.807828', '66223', '62464', '1514'
'07/04/2021 21:36:29.812942', '66265', '62485', '1792'
'07/04/2021 21:36:29.818148', '66316', '62502', '2193'
'07/04/2021 21:36:29.822961', '66355', '62519', '1881'
'07/04/2021 21:36:29.827830', '66391', '62529', '1511'
'07/04/2021 21:36:29.832805', '66432', '62543', '1811'
'07/04/2021 21:36:29.837943', '66474', '62559', '2192'
'07/04/2021 21:36:29.843028', '66496', '62566', '1856'
'07/04/2021 21:36:29.848157', '66529', '62576', '1509'
'07/04/2021 21:36:29.852861', '66536', '62574', '1840'
'07/04/2021 21:36:29.857982', '66542', '62577', '2171'
'07/04/2021 21:36:29.863112', '66538', '62574', '1829'
'07/04/2021 21:36:29.867863', '66508', '62561', '1532'
'07/04/2021 21:36:29.872980', '66459', '62543', '1867'
'07/04/2021 21:36:29.878139', '66401', '62511', '2181'
'07/04/2021 21:36:29.882855', '66312', '62475', '1858'
'07/04/2021 21:36:29.887991', '66213', '62428', '1551'
'07/04/2021 21:36:29.893136', '66113', '62378', '1892'
'07/04/2021 21:36:29.897857', '65991', '62329', '2161'
'07/04/2021 21:36:29.902980', '65860', '62277', '1831'
'07/04/2021 21:36:29.908134', '65738', '62219', '1523'
'07/04/2021 21:36:29.912857', '65603', '62156', '1856'
'07/04/2021 21:36:29.917982', '65466', '62102', '2163'
'07/04/2021 21:36:29.923087', '65350', '62052', '1817'
'07/04/2021 21:36:29.927865', '65233', '61994', '1561'
'07/04/2021 21:36:29.933073', '65116', '61945', '1895'
'07/04/2021 21:36:29.938200', '65018', '61897', '2167'
'07/04/2021 21:36:29.942964', '64916', '61857', '1831'
'07/04/2021 21:36:29.948128', '64842', '61824', '1551'
'07/04/2021 21:36:29.952859', '64773', '61790', '1865'
'07/04/2021 21:36:29.957994', '64707', '61770', '2160'
'07/04/2021 21:36:29.963151', '64664', '61745', '1811'
'07/04/2021 21:36:29.967942', '64619', '61723', '1552'
'07/04/2021 21:36:29.973094', '64578', '61707', '1886'
'07/04/2021 21:36:29.978233', '64561', '61696', '2160'
'07/04/2021 21:36:29.982981', '64536', '61691', '1827'
'07/04/2021 21:36:29.988164', '64531', '61693', '1552'
'07/04/2021 21:36:29.992942', '64524', '61681', '1874'
'07/04/2021 21:36:29.998116', '64527', '61686', '2149'
'07/04/2021 21:36:30.003262', '64538', '61689', '1792'
'07/04/2021 21:36:30.008021', '64541', '61686', '1552'
'07/04/2021 21:36:30.013177', '64550', '61687', '1891'
'07/04/2021 21:36:30.019606', '64562', '61696', '2111'
'07/04/2021 21:36:30.023362', '64575', '61706', '1771'
'07/04/2021 21:36:30.029438', '64594', '61709', '1546'
'07/04/2021 21:36:30.032965', '64613', '61716', '1872'
'07/04/2021 21:36:30.038038', '64634', '61728', '2144'
'07/04/2021 21:36:30.043146', '64665', '61736', '1808'
'07/04/2021 21:36:30.048233', '64700', '61751', '1543'
'07/04/2021 21:36:30.052952', '64731', '61766', '1871'
'07/04/2021 21:36:30.058032', '64785', '61793', '2132'
'07/04/2021 21:36:30.063146', '64837', '61814', '1808'
'07/04/2021 21:36:30.068281', '64892', '61838', '1552'
'07/04/2021 21:36:30.072981', '64941', '61862', '1878'
'07/04/2021 21:36:30.078102', '64995', '61886', '2146'
'07/04/2021 21:36:30.083144', '65058', '61906', '1808'
'07/04/2021 21:36:30.088035', '65104', '61934', '1562'
'07/04/2021 21:36:30.093114', '65146', '61950', '1904'
'07/04/2021 21:36:30.098217', '65196', '61967', '2147'
'07/04/2021 21:36:30.103303', '65231', '61987', '1779'
'07/04/2021 21:36:30.107972', '65271', '62003', '1557'
'07/04/2021 21:36:30.113054', '65305', '62019', '1879'
'07/04/2021 21:36:30.118157', '65346', '62031', '2128'
'07/04/2021 21:36:30.123245', '65373', '62047', '1790'
'07/04/2021 21:36:30.127982', '65394', '62056', '1557'
'07/04/2021 21:36:30.133312', '65415', '62064', '1915'
'07/04/2021 21:36:30.138109', '65440', '62074', '2128'
'07/04/2021 21:36:30.143067', '65457', '62081', '1808'
'07/04/2021 21:36:30.148183', '65477', '62094', '1555'
'07/04/2021 21:36:30.153280', '65495', '62095', '1904'
'07/04/2021 21:36:30.157967', '65506', '62100', '2124'
'07/04/2021 21:36:30.163069', '65517', '62102', '1802'
'07/04/2021 21:36:30.168190', '65532', '62102', '1535'
'07/04/2021 21:36:30.173295', '65537', '62107', '1905'
'07/04/2021 21:36:30.177988', '65543', '62107', '2123'
'07/04/2021 21:36:30.183142', '65547', '62110', '1790'
'07/04/2021 21:36:30.188254', '65562', '62117', '1552'
'07/04/2021 21:36:30.193385', '65555', '62115', '1923'
'07/04/2021 21:36:30.198074', '65558', '62114', '2143'
'07/04/2021 21:36:30.203195', '65565', '62122', '1802'
'07/04/2021 21:36:30.208314', '65583', '62134', '1551'
'07/04/2021 21:36:30.213014', '65589', '62136', '1884'
'07/04/2021 21:36:30.218144', '65596', '62141', '2131'
'07/04/2021 21:36:30.223265', '65612', '62145', '1788'
'07/04/2021 21:36:30.228638', '65621', '62154', '1547'
'07/04/2021 21:36:30.234001', '65621', '62160', '1965'
'07/04/2021 21:36:30.238266', '65645', '62167', '2128'
'07/04/2021 21:36:30.243410', '65663', '62173', '1776'
'07/04/2021 21:36:30.248106', '65674', '62182', '1573'
'07/04/2021 21:36:30.253237', '65697', '62190', '1917'
'07/04/2021 21:36:30.258389', '65728', '62209', '2135'
'07/04/2021 21:36:30.263079', '65736', '62215', '1802'
'07/04/2021 21:36:30.268856', '65762', '62225', '1565'
'07/04/2021 21:36:30.273237', '65789', '62238', '1909'
'07/04/2021 21:36:30.278362', '65804', '62242', '2114'
'07/04/2021 21:36:30.283041', '65821', '62253', '1798'
'07/04/2021 21:36:30.288164', '65838', '62265', '1572'
'07/04/2021 21:36:30.293237', '65870', '62273', '1914'
'07/04/2021 21:36:30.298353', '65889', '62288', '2119'
'07/04/2021 21:36:30.303038', '65901', '62300', '1809'
'07/04/2021 21:36:30.308154', '65927', '62310', '1587'
'07/04/2021 21:36:30.313234', '65951', '62318', '1907'
'07/04/2021 21:36:30.318648', '65969', '62327', '2118'
'07/04/2021 21:36:30.323405', '65989', '62344', '1778'
'07/04/2021 21:36:30.328107', '66020', '62355', '1582'
'07/04/2021 21:36:30.333369', '66049', '62370', '1918'
'07/04/2021 21:36:30.338355', '66081', '62379', '2122'
'07/04/2021 21:36:30.343053', '66109', '62393', '1827'
'07/04/2021 21:36:30.348168', '66139', '62407', '1595'
'07/04/2021 21:36:30.353281', '66176', '62418', '1919'
'07/04/2021 21:36:30.358392', '66217', '62434', '2114'
'07/04/2021 21:36:30.363133', '66247', '62453', '1811'
'07/04/2021 21:36:30.368276', '66290', '62471', '1589'
'07/04/2021 21:36:30.373391', '66322', '62484', '1922'
'07/04/2021 21:36:30.378147', '66354', '62495', '2107'
'07/04/2021 21:36:30.383250', '66390', '62516', '1802'
'07/04/2021 21:36:30.388392', '66431', '62527', '1589'
'07/04/2021 21:36:30.393137', '66460', '62539', '1900'
'07/04/2021 21:36:30.398251', '66494', '62555', '2112'
'07/04/2021 21:36:30.403370', '66538', '62575', '1795'
'07/04/2021 21:36:30.408135', '66574', '62589', '1601'
'07/04/2021 21:36:30.413247', '66599', '62600', '1917'
'07/04/2021 21:36:30.418385', '66643', '62613', '2112'
'07/04/2021 21:36:30.423137', '66676', '62637', '1826'
'07/04/2021 21:36:30.428271', '66709', '62649', '1610'
'07/04/2021 21:36:30.433279', '66751', '62661', '1907'
'07/04/2021 21:36:30.438917', '66791', '62677', '2112'
'07/04/2021 21:36:30.443249', '66821', '62688', '1817'
'07/04/2021 21:36:30.448392', '66863', '62703', '1615'
'07/04/2021 21:36:30.453147', '66896', '62718', '1914'
'07/04/2021 21:36:30.458310', '66928', '62732', '2108'
'07/04/2021 21:36:30.463105', '66970', '62746', '1821'
'07/04/2021 21:36:30.468276', '66998', '62756', '1605'
'07/04/2021 21:36:30.473412', '67028', '62768', '1910'
'07/04/2021 21:36:30.478178', '67062', '62781', '2015'
'07/04/2021 21:36:30.483347', '67077', '62796', '1630'
'07/04/2021 21:36:30.488146', '67105', '62798', '2163'
'07/04/2021 21:36:30.493322', '67112', '62803', '2256'
'07/04/2021 21:36:30.498488', '67125', '62798', '1350'
'07/04/2021 21:36:30.503230', '67115', '62797', '1419'
'07/04/2021 21:36:30.508392', '67092', '62790', '2343'
'07/04/2021 21:36:30.513161', '67062', '62765', '2304'
'07/04/2021 21:36:30.521026', '67014', '62749', '1153'
'07/04/2021 21:36:30.523181', '66968', '62729', '1427'
'07/04/2021 21:36:30.528719', '66902', '62701', '2447'
'07/04/2021 21:36:30.533557', '66832', '62664', '2199'
'07/04/2021 21:36:30.538443', '66749', '62637', '1253'
'07/04/2021 21:36:30.543418', '66666', '62589', '1489'
'07/04/2021 21:36:30.548483', '66566', '62553', '2429'
'07/04/2021 21:36:30.553542', '66474', '62511', '2197'
'07/04/2021 21:36:30.558190', '66385', '62467', '1277'
'07/04/2021 21:36:30.563261', '66304', '62434', '1488'
'07/04/2021 21:36:30.568344', '66221', '62396', '2437'
'07/04/2021 21:36:30.573427', '66142', '62361', '2194'
'07/04/2021 21:36:30.578515', '66065', '62324', '1200'
'07/04/2021 21:36:30.583511', '65993', '62297', '1543'
'07/04/2021 21:36:30.588474', '65934', '62273', '2471'
'07/04/2021 21:36:30.593560', '65883', '62250', '2169'
'07/04/2021 21:36:30.598223', '65826', '62227', '1253'
'07/04/2021 21:36:30.603308', '65791', '62210', '1520'
'07/04/2021 21:36:30.608417', '65759', '62194', '2470'
'07/04/2021 21:36:30.613501', '65727', '62183', '2189'
'07/04/2021 21:36:30.618594', '65709', '62178', '1186'
'07/04/2021 21:36:30.623248', '65686', '62163', '1520'
'07/04/2021 21:36:30.628345', '65686', '62164', '2483'
'07/04/2021 21:36:30.633449', '65686', '62163', '2181'
'07/04/2021 21:36:30.638418', '65694', '62161', '1199'
'07/04/2021 21:36:30.643643', '65700', '62171', '1613'
'07/04/2021 21:36:30.648308', '65722', '62181', '2486'
'07/04/2021 21:36:30.653417', '65747', '62191', '2203'
'07/04/2021 21:36:30.658512', '65771', '62199', '1223'
'07/04/2021 21:36:30.663624', '65793', '62209', '1574'
'07/04/2021 21:36:30.668335', '65812', '62225', '2416'
'07/04/2021 21:36:30.673449', '65842', '62236', '2230'
'07/04/2021 21:36:30.678574', '65875', '62248', '1297'
'07/04/2021 21:36:30.683248', '65900', '62263', '1417'
'07/04/2021 21:36:30.688388', '65930', '62275', '2238'
'07/04/2021 21:36:30.693493', '65961', '62288', '2393'
'07/04/2021 21:36:30.698609', '65992', '62299', '1465'
'07/04/2021 21:36:30.703296', '66026', '62308', '1391'
'07/04/2021 21:36:30.708428', '66060', '62329', '2311'
'07/04/2021 21:36:30.713538', '66097', '62345', '2207'
'07/04/2021 21:36:30.718665', '66130', '62354', '1264'
'07/04/2021 21:36:30.723354', '66167', '62367', '1529'
'07/04/2021 21:36:30.728480', '66202', '62388', '2442'
'07/04/2021 21:36:30.733603', '66237', '62402', '2162'
'07/04/2021 21:36:30.738301', '66271', '62416', '1258'
'07/04/2021 21:36:30.743268', '66302', '62432', '1541'
'07/04/2021 21:36:30.748478', '66346', '62450', '2496'
'07/04/2021 21:36:30.753607', '66373', '62458', '2113'
'07/04/2021 21:36:30.758308', '66403', '62477', '1213'
'07/04/2021 21:36:30.763449', '66428', '62480', '1623'
'07/04/2021 21:36:30.768870', '66454', '62493', '2591'
'07/04/2021 21:36:30.773652', '66471', '62503', '2083'
'07/04/2021 21:36:30.778362', '66495', '62515', '1182'
'07/04/2021 21:36:30.783434', '66512', '62522', '1627'
'07/04/2021 21:36:30.788551', '66530', '62522', '2549'
'07/04/2021 21:36:30.793622', '66540', '62529', '2079'
'07/04/2021 21:36:30.798345', '66550', '62535', '1175'
'07/04/2021 21:36:30.803427', '66563', '62544', '1625'
'07/04/2021 21:36:30.808543', '66581', '62546', '2549'
'07/04/2021 21:36:30.813623', '66588', '62546', '2071'
'07/04/2021 21:36:30.818348', '66590', '62547', '1155'
'07/04/2021 21:36:30.823567', '66601', '62549', '1665'
'07/04/2021 21:36:30.828544', '66608', '62552', '2575'
'07/04/2021 21:36:30.833639', '66604', '62558', '2077'
'07/04/2021 21:36:30.838363', '66621', '62556', '1179'
'07/04/2021 21:36:30.843606', '66626', '62555', '1682'
'07/04/2021 21:36:30.848338', '66639', '62561', '2531'
'07/04/2021 21:36:30.853683', '66638', '62562', '2045'
'07/04/2021 21:36:30.858397', '66652', '62561', '1159'
'07/04/2021 21:36:30.863529', '66655', '62563', '1670'
'07/04/2021 21:36:30.868655', '66665', '62569', '2588'
'07/04/2021 21:36:30.873371', '66664', '62573', '2109'
'07/04/2021 21:36:30.878540', '66671', '62569', '1133'
'07/04/2021 21:36:30.883646', '66686', '62574', '1715'
'07/04/2021 21:36:30.888392', '66690', '62578', '2558'
'07/04/2021 21:36:30.893531', '66693', '62585', '2061'
'07/04/2021 21:36:30.898656', '66718', '62585', '1107'
'07/04/2021 21:36:30.903383', '66720', '62584', '1665'
'07/04/2021 21:36:30.908533', '66727', '62589', '2590'
'07/04/2021 21:36:30.913649', '66742', '62596', '2014'
'07/04/2021 21:36:30.918385', '66754', '62600', '1136'
'07/04/2021 21:36:30.923531', '66763', '62605', '1712'
'07/04/2021 21:36:30.928655', '66783', '62609', '2614'
'07/04/2021 21:36:30.933431', '66797', '62617', '2066'
'07/04/2021 21:36:30.938567', '66806', '62621', '1109'
'07/04/2021 21:36:30.943721', '66821', '62625', '1757'
'07/04/2021 21:36:30.948520', '66833', '62623', '2604'
'07/04/2021 21:36:30.956784', '66848', '62635', '1391'
'07/04/2021 21:36:30.958453', '66871', '62642', '1107'
'07/04/2021 21:36:30.963445', '66885', '62647', '1711'
'07/04/2021 21:36:30.968626', '66902', '62656', '2617'
'07/04/2021 21:36:30.973743', '66916', '62660', '1958'
'07/04/2021 21:36:30.978444', '66926', '62665', '1099'
'07/04/2021 21:36:30.983558', '66942', '62670', '1728'
'07/04/2021 21:36:30.988690', '66964', '62679', '2615'
'07/04/2021 21:36:30.993819', '66977', '62681', '1929'
'07/04/2021 21:36:30.998512', '66988', '62688', '1090'
'07/04/2021 21:36:31.003648', '67005', '62693', '1770'
'07/04/2021 21:36:31.008792', '67022', '62700', '2644'
'07/04/2021 21:36:31.013766', '67030', '62704', '1958'
'07/04/2021 21:36:31.018566', '67051', '62712', '1094'
'07/04/2021 21:36:31.023783', '67067', '62718', '1799'
'07/04/2021 21:36:31.028501', '67081', '62718', '2604'
'07/04/2021 21:36:31.033576', '67094', '62724', '1971'
'07/04/2021 21:36:31.038664', '67116', '62734', '1078'
'07/04/2021 21:36:31.043763', '67126', '62736', '1794'
'07/04/2021 21:36:31.048501', '67139', '62743', '2613'
'07/04/2021 21:36:31.053634', '67157', '62746', '1968'
'07/04/2021 21:36:31.058752', '67186', '62756', '1085'
'07/04/2021 21:36:31.063826', '67197', '62763', '1811'
'07/04/2021 21:36:31.068803', '67219', '62775', '2631'
'07/04/2021 21:36:31.073646', '67241', '62780', '1948'
'07/04/2021 21:36:31.078641', '67262', '62785', '1088'
'07/04/2021 21:36:31.083762', '67281', '62787', '1813'
'07/04/2021 21:36:31.088861', '67302', '62798', '2650'
'07/04/2021 21:36:31.093568', '67316', '62806', '1982'
'07/04/2021 21:36:31.098685', '67343', '62811', '1088'
'07/04/2021 21:36:31.103787', '67365', '62819', '1827'
'07/04/2021 21:36:31.108533', '67380', '62829', '2624'
'07/04/2021 21:36:31.113629', '67395', '62833', '1968'
'07/04/2021 21:36:31.118755', '67418', '62843', '1087'
'07/04/2021 21:36:31.123856', '67431', '62845', '1835'
'07/04/2021 21:36:31.128579', '67432', '62847', '2624'
'07/04/2021 21:36:31.133714', '67443', '62844', '1950'
'07/04/2021 21:36:31.138814', '67441', '62842', '1089'
